,sample_name,sample_id
1,Axi-01,GIL_01
2,Axi-02,GIL_02
3,Axi-03,GIL_03
4,Axi-04,GIL_04
5,Axi-05,GIL_05
6,Axi-06,GIL_06
7,Axi-08,GIL_08
8,Axi-09,GIL_09
9,Axi-10,GIL_10
10,Axi-11,GIL_11
11,Axi-12,GIL_12
12,Axi-13,GIL_13
13,Axi-14,GIL_14
14,Axi-15,GIL_15
15,Axi-17,GIL_17
16,Axi-18,GIL_18
17,Axi-19,GIL_19
18,Axi-20,GIL_20
19,Axi-21,GIL_21
20,Tis-01,NOV_01
21,Tis-02,NOV_02
22,Tis-03,NOV_03
23,Tis-04,NOV_04
24,Tis-05,NOV_05
25,Tis-06,NOV_06
26,Tis-07,NOV_07
27,Tis-08,NOV_08
28,Tis-09,NOV_09
29,Tis-10,NOV_10
30,Tis-11,NOV_11
31,Tis-12,NOV_12
32,Tis-13,NOV_13
33,Tis-14,NOV_14
34,Tis-15,NOV_15
35,Tis-16,NOV_16
36,Tis-17,NOV_17
37,Tis-18,NOV_18
38,Tis-19,NOV_19
39,Tis-20,NOV_20
40,Tis-21,NOV_21
41,Tis-22,NOV_22
42,Tis-23,NOV_23
43,Tis-25,NOV_25
